"id","name","region_id","group_id","Accessibility_Index","Affordability_Index_no_nav","Affordability_Index_nav","Mobility_Index","Safety_Index","IMPT_score_pca_geom_nav","IMPT_score_pca_geom_no_nav","IMPT_score_pca_avg_no_nav","IMPT_score_pca_avg_nav","IMPT_entropy_pca_nav","IMPT_entropy_pca_no_nav","Accessibility_Index_bike","Mobility_Index_bike","Safety_Index_bike","IMPT_score_pca_geom_bike","IMPT_score_pca_avg_bike","Accessibility_Index_walk","Mobility_Index_walk","Safety_Index_walk","IMPT_score_pca_geom_walk","IMPT_score_pca_avg_walk","Accessibility_Index_pt","Affordability_Index_pt_no_nav","Affordability_Index_pt_nav","Mobility_Index_pt","IMPT_score_pca_geom_pt_no_nav","IMPT_score_pca_geom_pt_nav","IMPT_score_pca_avg_pt_no_nav","IMPT_score_pca_avg_pt_nav","Accessibility_Index_car","Affordability_Index_car","Mobility_Index_car","Safety_Index_car","IMPT_score_pca_geom_car","IMPT_score_pca_avg_car"
"110501","Alcabideche","PT1B","1105",56.1287067803663,50.8411117998211,51.7553529458782,44.9515705469841,31.2326031731033,55.0347986667602,55.2352483183646,54.2115019249313,53.982941638417,54.5415961269293,54.5620619862347,57.5097267074309,30.1953476323289,43.5214285714286,57.6859297256852,67.1933742722029,45.7763173086925,22.7753457979018,32.2274258760108,67.6919003229486,66.4069703391316,48.5016412548421,32.754677372845,28.2850539921216,55.1717546160374,55.5545386525225,57.656111299506,54.5239755854251,56.0138500456663,71.973354398267,56.6412409503724,44.2851796251552,22.3327430690056,55.0849690461157,51.1918704893
"110506","São Domingos de Rana","PT1B","1105",61.6471243406915,58.0509771666296,58.9903857358455,47.4505926915018,31.3794090410793,51.7237441114163,51.9177955245077,50.3679741900245,50.1331220477205,51.3688299297334,51.3105308019719,64.924523166167,20.8943640156235,35.8429401993356,63.3950913876278,69.5845431547185,49.7711735675116,30.989146780841,22.6750039638497,67.2477051381856,65.5215585625992,52.2725268506256,37.1057686887368,31.9390215580491,59.1121124312428,51.3995818304496,53.7510682710383,50.5031973431316,52.2254463866941,77.2024533101796,63.8536339685364,50.1913406847417,18.6786226685796,53.4570118909642,47.5184873419907
"110507","União das freguesias de Carcavelos e Parede","PT1B","1105",69.0808213114507,49.2568736179467,50.4971677431584,47.1169268246142,37.1505145367955,50.2664558804944,50.5747298988859,49.3487159272982,49.0386423959953,49.6415992637628,49.8610549228961,69.7948633666762,25.3077562029963,30.1332417582417,62.2947419874198,68.6910346680214,58.4570061035835,30.1031133304198,23.7112647905341,65.2479766980685,62.5762052584875,61.0928449835753,33.7908473319957,28.3074417257968,57.9476286523766,50.6896157077112,53.4852331397357,49.0562263440175,50.8840282127504,83.0736044033448,55.3805537094982,59.9029207777646,28.3334123062344,47.055468232863,43.3273772007895
"110508","União das freguesias de Cascais e Estoril","PT1B","1105",61.9878572259752,42.5121944492639,43.4664743499313,53.680067107475,1,77.4745932315009,77.6018395971805,60.2049703043215,59.9664003291546,72.0524449835548,71.9027496086059,61.967140026539,78.6288042262018,7.22241282339708,66.4542616045866,63.0454107309655,52.087634775319,29.7923834074406,7.19896627860297,77.2462638857632,70.3070051795458,54.5120606702648,27.5350907805439,23.0287690273921,52.5505536184401,57.0616722338529,59.5083270809753,55.1340983102504,56.636205561301,77.1176704589953,47.7465475476772,33.8405737271739,2.68405627198125,74.5591035808641,59.6527879985431
"110601","Ajuda","PT1B","1106",71.1521482966319,48.5762049119543,51.4973632200994,58.5221289161388,63.7640463929303,39.1841568678262,40.0626247414632,39.4963678705862,38.7660782935499,38.6151389412358,39.4710534473285,72.7901990002467,10.8727324307879,52.7321428571429,64.892742132259,65.9012314279556,61.379214851181,34.4684157036354,42.2028301886792,55.2773601046343,53.9831797521681,64.5964154427205,35.5523644602173,27.4704931410157,77.0957235087015,43.7896929544898,48.3618298737974,40.9184988627869,43.6124559691874,81.3738409323068,60.5228342162591,81.1607894900992,44.3258182650492,35.0888366728704,33.1541792740714
"110602","Alcântara","PT1B","1106",71.4863847400782,52.0778736285429,52.992330385284,62.8785440036676,39.5264160330537,44.5816436113304,44.8220624791849,43.5076953986644,43.2790812094791,42.1299647549582,42.4152227803449,74.4593227699612,33.4570662862873,41.7071428571428,52.9348199944,62.5941170216522,59.6631915221101,47.6632676683562,29.5193396226415,56.1701569572141,54.3847337289641,66.1263960868431,31.3016618406198,28.924074273093,76.6335216749862,45.7851586919323,47.174536178993,41.9794734658503,42.7720026550259,81.2812817428741,66.5489982256991,45.5210414655967,20.445498428379,52.4737888591981,46.5507950343628
"110607","Beato","PT1B","1106",75.5547782608495,36.9693665791847,42.237787235849,67.3805805991808,64.919902621691,38.8492639960678,40.8357165004182,38.7938429847735,37.4767378206074,36.0055308403383,38.0328253177092,76.7249574768835,49.1588354781184,48.7142857142857,43.1287254432196,56.3504803326781,58.7241241543132,35.3812344201902,44.9362264150943,54.6132251021612,53.6528050034674,68.2529884088437,27.4852008508485,16.2729209917937,74.8821591474946,47.9035080815709,56.0584553583506,43.1265505309377,46.8639771506227,93.8007530425652,55.3139433498267,85.3044050056539,47.5431604594501,32.2302913465672,29.509434535626
"110608","Benfica","PT1B","1106",80.6978565319868,67.4480281153125,69.126255993907,78.7634177912997,26.6572176967502,41.3753435767614,41.7353175609884,36.6083699661627,36.1888129965141,36.9422264421573,37.0963689354251,82.8400389015161,77.0547975032569,44.119930875576,34.410385699255,48.9963081799127,65.5717105640749,34.6581287222507,20.8457656867047,63.7089013380267,59.6414650089899,77.5800007873066,46.0493680658729,41.406270935095,84.6717581923895,32.8339962022891,35.1544245562841,30.5662909848104,32.113990028403,90.937179170678,82.1886453871338,83.2278440506352,10.2594876660342,49.1041792067983,33.3467109313797
"110610","Campolide","PT1B","1106",82.5393025072489,59.2864521225296,60.6677464508794,80.155596433104,49.776015751288,33.1216144643814,33.5049511109453,32.0606582964574,31.7153347143699,29.5329987264723,30.040767196947,82.7785742145449,72.4595472462268,50.5958791208791,32.7768015304309,48.5414998545873,66.1047651800524,47.5543514840302,40.3733593109106,49.7255786503023,48.655841341669,80.1394767913651,37.399900861872,33.8545787524407,81.1567320164237,37.5056394239317,39.5231322102311,33.7679634434464,34.9497374799235,95.1692871743246,75.5195627842884,92.103012830688,29.0533277744087,33.6377949559264,27.0387023590726
"110611","Carnide","PT1B","1106",79.8151628901408,86.392378030714,87.8877291422159,79.5669527823289,52.6350258529985,26.3576981268939,26.6736235759493,25.3976201109544,25.023782333079,25.2890035060475,25.2623691572985,80.5262376671288,78.9450655332675,45.7571428571429,33.7055869362599,48.6928884856152,64.9461163289467,44.0078594984604,38.5589622641509,52.03254969252,50.8290206361473,78.5876829003064,60.7562424207796,55.9113048195134,81.1075737631433,27.1013256436845,29.0867017747732,26.5161669719236,28.1311461723457,89.9546239598993,100,89.5999172851017,35.9117647058824,26.5508589302077,21.1334235122792
